Run,Event,dimuon_mass_GeV,dimuon_pt_GeV,leading_muon_pt_GeV,subleading_muon_pt_GeV,Q1,Q2,Type1,Type2,opposite_sign,both_global
146514,377973526,2.88393,9.564859888593507,6.10606,3.87991,1,-1,G,T,True,False
146514,378903343,3.06852,9.062258875120484,5.6742,3.39241,-1,1,G,G,True,True
146514,379398985,3.08959,7.602316642090093,5.21932,2.95839,-1,1,G,G,True,True
146514,379845003,2.77847,2.8909264733154316,2.56172,1.17494,-1,1,G,T,True,False
146514,379893127,3.18833,7.184712034509386,4.23383,3.32987,-1,1,G,G,True,True
146514,380716776,2.60654,6.096693953808162,5.6135,0.986782,1,-1,G,T,True,False
146514,381019812,3.4636,8.527884090124584,5.2877,3.91304,1,-1,G,T,True,False
146514,381025219,2.8467,11.448084468984321,10.1797,1.60841,1,-1,G,T,True,False
146514,495713547,3.04933,8.44633300120141,5.06808,3.51765,-1,1,G,G,True,True
146514,496303504,2.74149,16.608761306217268,13.9009,2.71172,1,-1,G,T,True,False
146514,497682130,2.94383,9.229598974057378,7.12614,2.4974,1,-1,G,T,True,False
146589,114248983,3.01428,7.741575789469479,5.05412,2.68822,-1,1,G,G,True,True
146589,114686708,3.09088,9.597632406265621,5.7152,4.16642,-1,1,G,G,True,True
146589,114715131,3.07711,11.263576136644348,7.22824,4.13534,1,-1,G,G,True,True
146589,125732609,2.72876,6.479826862154652,3.54614,3.07036,-1,1,G,T,True,False
146589,125865079,3.06185,0.9736375141170354,2.00546,1.13191,1,-1,G,T,True,False
146589,125951908,2.704,5.577920276933331,4.82615,1.2098,1,-1,G,T,True,False
146589,126138596,2.84379,4.455949314011998,3.17016,1.78122,-1,1,G,T,True,False
146589,126212993,3.15364,11.203413454975454,10.5298,1.09452,1,-1,G,T,True,False
146589,126546500,3.12139,6.466561734161749,3.54136,3.30324,1,-1,G,G,True,True
146589,127088904,2.82552,6.900048409437871,5.84184,1.30526,1,-1,G,T,True,False
146589,127251018,3.08586,13.146657748392325,8.14024,5.02171,-1,1,G,G,True,True
